"Status","Pics","MLS #","Original Price","Price","Property Type","Structure Style","Address","Subdivsn or Commnty","Condo Complex","Condo Unit #","City","Area","BD","FB","HB","Lvg Area","ApxYrBlt","DOM","CDOM"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/360799/0/120/90/f8c279b227eb657636d66ffef2c9ba0a/7/800da0c35320690d18420c6e23b34714/360799-6f89320d-282b-4c0e-9102-9ee9950616da.JPG","360799","$110,000","$110,000","RD","RV Coach House","17315 Harris Circle","None",,,"Gulf Shores","Gulf Shores 2","1","1","0","130","1991","1","1"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/389175/0/120/90/8e585b3bb0b4f4c52a1f4548c4ea3a98/7/74be39901d31cd3405cedab94dc71da3/389175-03ca0a64-c28a-47e0-9096-aafa492f782f.JPG","389175","$115,000","$115,000","RD","Manufactured Home","2411 Calloway Road","Wallace",,,"Gulf Shores","Gulf Shores 1","2","1","0","1200","1987","1","1"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/355000/0/120/90/3c8d633ee0da9f642500cff6644a3717/7/942abc129e1eae465d0c4b4559985f47/355000.JPG","355000","$130,000","$130,000","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","3","2","0","1216","2005","0","0"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/381058/0/120/90/300a9ab052757413f539dc76ad11acd3/7/6a2dde2944d370727f522b5f9250e563/381058-6066797f-4c3c-4e2c-837b-0f663eca4ae0.JPG","381058","$139,500","$141,000","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","3","2","0","1280","2006","3","3"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/361303/0/120/90/0a617fd71322eef6be40fe5dc46acfc9/7/aaece19db284342d9b2b7bfbede3275c/361303-453cab30-6655-428c-8908-2ceaca430f72.JPG","361303","$299,000","$145,000","RD","Single Story","413 State Highway 180","Gulfwood Highlands",,,"Gulf Shores","Gulf Shores 1","2","2","0","920","1994","53","53"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/389090/0/120/90/c83d5363a2ac8ca68a5fe15054c41e0d/7/9b9d5715712f9f4cfdd604087843c816/389090-b067546e-ac56-44b3-84fc-b957899f5f6d.JPG","389090","$175,000","$152,000","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","3","2","0","1216","2005","66","66"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/360765/0/120/90/3c70a7821d517492ac4d38a5d94b6503/7/86dd827772f82cfe23aa7b4817539a41/360765-cc181306-7e65-47f7-8ee5-be8f570a15e2.JPG","360765","$165,000","$155,902","RD","Mobile Home","17325 Harris Circle","Pirates Landing",,,"Gulf Shores","Gulf Shores 2","2","1","0","384","1992","55","55"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/375234/0/120/90/7422bad7c156f437aa7c95ac8203f3b3/7/d8ce2fc0eae04823a6308d72df192acb/375234-441f49f8-f064-4ff3-83de-a889d603cd5f.JPG","375234","$169,000","$165,000","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,"70","Gulf Shores","Gulf Shores 1","2","2","0","928","2014","26","180"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/369163/0/120/90/35359fdb720ff97a32209ea03dff78b8/7/57d3c53956da73c58eb8ddcf6e261fea/369163-0d8543f3-a7d5-47bf-8d38-ab3764417ab5.JPG","369163","$199,000","$179,000","RD","Ranch","20118 Beckham Street","None",,,"Gulf Shores","Gulf Shores 2","2","1","0","875","1985","44","44"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/386816/0/120/90/defafc574b589a287d8afc3a499b43a5/7/f594fd5c73cc824508286b08d4718920/386816-DE60445E-918C-4AA0-8D97-559A1D5447CB.JPG","386816","$204,900","$179,900","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","3","2","0","1216","2005","148","444"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/376596/0/120/90/aa6cbdaf9dc0091c35c1bf1ab1d064d0/7/52c6fff41449a1817e2292821dff39b4/376596-3999bd13-26d9-4271-84ac-fef200e15173.JPG","376596","$189,999","$182,500","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","2","2","0","1216","2005","26","26"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/342175/0/120/90/35bd4fa7b5be9c19a2fb534988bdbb35/8/92abb62bcf7ff1b9cf6810608350203d/342175.JPG","342175","$209,900","$185,000","RD","Mobile Home","16707 Lagoon Circle","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","3","2","0","1099","2018","483","483"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/375323/0/120/90/f08f018a15f305ce0c27fc6aa7d7eb06/7/37a63fe2d220e9b79a33eb37d0686e72/375323-99f1c972-1b3d-4a22-b3ab-30e39b0acc04.JPG","375323","$189,000","$189,000","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,"69","Gulf Shores","Gulf Shores 1","2","2","0","768","2021","19","173"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/386817/0/120/90/1553a4d040064ccdca0d3866defa4e6a/7/e97a5a3bd0f9fa1b19d479619cfc190e/386817-659B8469-A532-464B-8C7E-046D48B373E3.JPG","386817","$214,900","$189,900","RD","Mobile Home","16707 State Highway 180","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","3","2","0","1216","2024","157","480"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/388631/0/120/90/c6bc6427b7c2eb6c6e4044bfcbe6ab48/7/31839d240b549ec286772874bae1ff87/388631-36142661-07be-41c1-9643-8f521def8967.JPG","388631","$259,900","$190,000","RD","Traditional","20073 Dotson Street","Gulf Heights",,,"Gulf Shores","Gulf Shores 2","3","2","0","916","1975","3","3"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/371323/0/120/90/ca6f1eb365860df4d25317180b4d9926/7/b82b6ba0b2ede2b7d0b9289a1ac41439/371323-e6777c64-e675-4950-9b52-3577669471fd.JPG","371323","$215,000","$196,000","RD","Mobile Home","3 SHOAL Court","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","2","2","0","912","2017","45","45"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/362375/0/120/90/a70e4db12e1f692ef6a7acba6b132294/7/84a7b1da014b80190c20086428276414/362375-181b9b1d-1378-4b96-9dc9-99c4975aa5ac.JPG","362375","$215,000","$202,500","RD","Mobile Home","5681 Lemontree Lane","River Palms",,,"Gulf Shores","Gulf Shores 2","3","2","0","1664","2001","17","17"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/382587/0/120/90/23c8d645caa42a65248b4bb317e09c04/7/19a9df0334899c0b7541ad0e37fc5ecb/382587-76828fc6-1448-4d9e-9dc8-c5290df5d863.JPG","382587","$230,000","$205,000","RD","Mobile Home","2340 Lagoon Circle","Lagoon Mobile Home",,,"Gulf Shores","Gulf Shores 1","3","2","0","1152","2023","212","212"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/364326/0/120/90/0be0bcf749d4a76480d4cf0e6b13a6f1/7/6a1acd1bbcb1ee3a72eef0aeba994d93/364326-9bc50eaf-8109-4d74-9107-29ae3b0ec679.JPG","364326","$236,000","$215,000","RD","Mobile Home","6951 Grund Lane","Oak River View",,,"Gulf Shores","Gulf Shores 2","3","2","0","1800","1995","6","6"
"CL","https://zimg.paragon.ice.com/ParagonImages/Property/PG/BCAR/370855/0/120/90/71e5c270ed36e818c59428971a681d5e/7/383fed75976dc77606f8d3fee9d90322/370855-82843e9b-bb90-4b16-b7fb-1b168d92457b.JPG","370855","$259,000","$215,000","RD","Cottage","721 E 23rd Avenue","Gulf Pines",,,"Gulf Shores","Gulf Shores 1","2","2","0","1044","1971","80","80"
